SEGGER J-Link V6.42b Log File
DLL Compiled: Feb  5 2019 17:31:40
Logging started @ 2019-05-28 20:46

T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 76)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 77)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 78)  returns 0 (0001ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 79)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 80)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 81)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 82)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 83)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 84)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 85)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 86)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 87)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 88)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 89)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 90)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 91)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 92)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 93)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 94)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 95)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 96)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 97)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 98)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 99)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 100)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 101)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 102)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 103)  returns 0 (0000ms, 0155ms total)
